subject,datetime,category,first_time,label
Exclusive deal for you,2025-08-14 00:11:00,promotion,0,spam
Happy birthday,2025-08-05 02:52:00,work,1,normal
Your account is locked,2025-08-10 18:09:00,security,1,fraud
Limited time offer,2025-08-15 22:55:00,promotion,1,spam
Your account is locked,2025-08-04 00:30:00,security,1,fraud
Payment not received,2025-08-12 10:20:00,security,0,fraud
Claim your free prize,2025-08-13 07:21:00,promotion,0,spam
Exclusive deal for you,2025-08-19 13:32:00,promotion,0,spam
Win a lottery now,2025-08-04 21:32:00,promotion,0,spam
Weekly report due,2025-08-15 14:05:00,work,0,normal
Claim your free prize,2025-08-09 10:11:00,promotion,1,spam
Limited time offer,2025-08-05 20:18:00,promotion,0,spam
Get rich quick,2025-08-06 19:35:00,promotion,1,spam
Team lunch tomorrow,2025-08-16 16:20:00,work,1,normal
Meeting at 3 PM,2025-08-20 08:31:00,work,0,normal
Your account is locked,2025-08-17 01:43:00,security,1,fraud
Exclusive deal for you,2025-08-09 19:41:00,promotion,0,spam
Happy birthday,2025-08-03 05:33:00,work,1,normal
Password reset required,2025-08-09 13:25:00,security,0,fraud
Payment not received,2025-08-15 18:22:00,security,1,fraud
Your account is locked,2025-08-20 19:21:00,security,1,fraud
Meeting at 3 PM,2025-08-01 18:39:00,work,0,normal
Password reset required,2025-08-12 05:13:00,security,0,fraud
Payment not received,2025-08-03 17:03:00,security,1,fraud
Get rich quick,2025-08-10 18:40:00,promotion,0,spam
Meeting at 3 PM,2025-08-07 10:17:00,work,0,normal
Team lunch tomorrow,2025-08-11 11:18:00,work,0,normal
Weekly report due,2025-08-10 02:13:00,work,0,normal
Password reset required,2025-08-06 08:22:00,security,0,fraud
Your account is locked,2025-08-07 19:21:00,security,1,fraud
Happy birthday,2025-08-15 12:21:00,work,0,normal
Win a lottery now,2025-08-05 07:44:00,promotion,1,spam
Payment not received,2025-08-13 17:26:00,security,0,fraud
Weekly report due,2025-08-18 18:12:00,work,1,normal
Urgent bank verification,2025-08-16 08:26:00,security,0,fraud
Win a lottery now,2025-08-19 16:46:00,promotion,0,spam
Claim your free prize,2025-08-06 08:46:00,promotion,1,spam
Payment not received,2025-08-09 06:34:00,security,0,fraud
Password reset required,2025-08-04 17:46:00,security,0,fraud
Happy birthday,2025-08-14 11:25:00,work,1,normal
Password reset required,2025-08-06 16:35:00,security,0,fraud
Win a lottery now,2025-08-13 17:22:00,promotion,1,spam
Weekly report due,2025-08-06 08:44:00,work,1,normal
Password reset required,2025-08-15 16:31:00,security,1,fraud
Claim your free prize,2025-08-14 22:28:00,promotion,1,spam
Payment not received,2025-08-15 04:50:00,security,0,fraud
Meeting at 3 PM,2025-08-06 11:45:00,work,0,normal
Password reset required,2025-08-13 07:32:00,security,1,fraud
Team lunch tomorrow,2025-08-04 10:12:00,work,1,normal
Weekly report due,2025-08-08 19:29:00,work,0,normal
Claim your free prize,2025-08-12 20:11:00,promotion,0,spam
Project submission reminder,2025-08-10 06:48:00,work,1,normal
Weekly report due,2025-08-14 03:03:00,work,0,normal
Project submission reminder,2025-08-05 12:20:00,work,1,normal
Get rich quick,2025-08-17 22:44:00,promotion,0,spam
Your account is locked,2025-08-10 07:22:00,security,0,fraud
Weekly report due,2025-08-03 09:00:00,work,0,normal
Password reset required,2025-08-04 07:26:00,security,1,fraud
Happy birthday,2025-08-06 05:00:00,work,1,normal
Win a lottery now,2025-08-02 22:27:00,promotion,0,spam
Urgent bank verification,2025-08-10 03:38:00,security,0,fraud
Limited time offer,2025-08-16 14:03:00,promotion,0,spam
Your account is locked,2025-08-17 14:56:00,security,0,fraud
Happy birthday,2025-08-17 17:37:00,work,0,normal
Win a lottery now,2025-08-12 12:17:00,promotion,0,spam
Team lunch tomorrow,2025-08-20 04:53:00,work,0,normal
Exclusive deal for you,2025-08-21 15:06:00,promotion,0,spam
Meeting at 3 PM,2025-08-16 13:45:00,work,0,normal
Password reset required,2025-08-08 12:02:00,security,0,fraud
Weekly report due,2025-08-15 09:19:00,work,0,normal
Exclusive deal for you,2025-08-10 21:46:00,promotion,0,spam
Team lunch tomorrow,2025-08-18 18:44:00,work,0,normal
Exclusive deal for you,2025-08-14 06:19:00,promotion,0,spam
Exclusive deal for you,2025-08-11 01:06:00,promotion,1,spam
Team lunch tomorrow,2025-08-12 15:05:00,work,0,normal
Weekly report due,2025-08-17 08:17:00,work,0,normal
Payment not received,2025-08-14 06:30:00,security,1,fraud
Payment not received,2025-08-19 18:19:00,security,0,fraud
Meeting at 3 PM,2025-08-10 07:55:00,work,1,normal
Payment not received,2025-08-13 13:58:00,security,1,fraud
Win a lottery now,2025-08-12 22:31:00,promotion,1,spam
Win a lottery now,2025-08-20 01:37:00,promotion,0,spam
Exclusive deal for you,2025-08-12 06:36:00,promotion,1,spam
Meeting at 3 PM,2025-08-10 05:37:00,work,0,normal
Win a lottery now,2025-08-20 11:18:00,promotion,1,spam
Password reset required,2025-08-16 12:09:00,security,0,fraud
Weekly report due,2025-08-13 11:53:00,work,0,normal
Limited time offer,2025-08-20 09:52:00,promotion,1,spam
Project submission reminder,2025-08-20 00:12:00,work,0,normal
Claim your free prize,2025-08-10 13:29:00,promotion,1,spam
Suspicious login detected,2025-08-16 05:35:00,security,0,fraud
Win a lottery now,2025-08-10 11:12:00,promotion,0,spam
Meeting at 3 PM,2025-08-20 09:07:00,work,0,normal
Urgent bank verification,2025-08-12 00:54:00,security,0,fraud
Project submission reminder,2025-08-17 06:53:00,work,1,normal
Win a lottery now,2025-08-19 13:50:00,promotion,1,spam
Exclusive deal for you,2025-08-18 11:38:00,promotion,0,spam
Claim your free prize,2025-08-12 00:49:00,promotion,0,spam
Meeting at 3 PM,2025-08-14 02:02:00,work,1,normal
Limited time offer,2025-08-03 00:01:00,promotion,0,spam
Password reset required,2025-08-08 08:01:00,security,1,fraud
Happy birthday,2025-08-09 15:39:00,work,1,normal
Happy birthday,2025-08-20 18:05:00,work,0,normal
Payment not received,2025-08-04 11:33:00,security,0,fraud
Meeting at 3 PM,2025-08-13 17:57:00,work,1,normal
Weekly report due,2025-08-13 21:10:00,work,0,normal
Claim your free prize,2025-08-13 16:50:00,promotion,0,spam
Get rich quick,2025-08-14 00:50:00,promotion,1,spam
Weekly report due,2025-08-09 14:23:00,work,1,normal
Limited time offer,2025-08-06 05:10:00,promotion,1,spam
Win a lottery now,2025-08-08 16:53:00,promotion,0,spam
Weekly report due,2025-08-14 13:50:00,work,1,normal
Weekly report due,2025-08-16 22:07:00,work,0,normal
Exclusive deal for you,2025-08-10 02:14:00,promotion,0,spam
Meeting at 3 PM,2025-08-09 09:18:00,work,0,normal
Team lunch tomorrow,2025-08-04 00:57:00,work,0,normal
Password reset required,2025-08-10 21:53:00,security,1,fraud
Happy birthday,2025-08-11 23:49:00,work,1,normal
Limited time offer,2025-08-01 06:41:00,promotion,0,spam
Exclusive deal for you,2025-08-03 08:15:00,promotion,1,spam
Urgent bank verification,2025-08-13 10:17:00,security,1,fraud
